,type,platform,name,symbol,slug,mkt_cap,market_cap_dominance,dec_score
0,coin,,Bitcoin,BTC,bitcoin,9.14E+11,40.9107,Decentralized
1,coin,,Ethereum,ETH,ethereum,4.78E+11,21.3857,Semi-centralized
2,coin,,Binance Coin,BNB,binance-coin,94292308325,4.2226,Centralized > Flat
3,coin,,Solana,SOL,solana,52254648924,2.34,Centralized > Hierarchical
4,coin,,Cardano,ADA,cardano,41442906190,1.8551,Semi-centralized
7,coin,,Dogecoin,DOGE,dogecoin,21872219767,0.9791,Semi-centralized
8,coin,,Litecoin,LTC,litecoin,10506867468,0.4703,Semi-centralized
9,coin,,Algorand,ALGO,algorand,9385880778,0.42,Centralized > Hierarchical
10,coin,,TRON,TRX,tron,9089103822,0.4068,Semi-centralized
11,coin,,Bitcoin Cash,BCH,bitcoin-cash,8489039180,0.38,Decentralized
12,coin,,Stellar,XLM,stellar,6553179785,0.2933,Centralized > Hierarchical
13,coin,,Cosmos,ATOM,cosmos,5272661144,0.2361,Decentralized
14,coin,,Ethereum Classic,ETC,ethereum-classic,4884399012,0.2186,Decentralized
15,coin,,THETA,THETA,theta,4360030813,0.1952,Centralized > Hierarchical
16,coin,,Tezos,XTZ,tezos,3862767340,0.173,Centralized > Hierarchical
17,coin,,Fantom,FTM,fantom,3677099464,0.1648,Centralized > Flat
18,coin,,Monero,XMR,monero,3490099683,0.1563,Decentralized
19,coin,,Klaytn,KLAY,klaytn,3385983612,0.1516,Centralized > Flat
21,coin,,EOS,EOS,eos,3023356037,0.1353,Centralized > Hierarchical
22,coin,,Bitcoin SV,BSV,bitcoin-sv,2527787173,0.1131,Decentralized
23,coin,,Kusama,KSM,kusama,2438661160,0.1091,Decentralized
24,coin,,Zcash,ZEC,zencash,2147322622,0.0961,Semi-centralized
25,coin,,Neo,NEO,neo,1919950332,0.086,Semi-centralized
26,coin,,Waves,WAVES,waves,1663333878,0.0746,Centralized > Hierarchical
27,coin,,Dash,DASH,dash,1429011502,0.0641,Semi-centralized
29,coin,,Theta Fuel,TFUEL,theta-fuel,1235448042,0.0553,Centralized > Hierarchical
30,coin,,NEM,XEM,nem,1193229051,0.0534,Semi-centralized
31,coin,,Decred,DCR,decred,1056770721,0.0474,Semi-centralized
32,coin,,WAX,WAXP,wax,962273762.2,0.0431,Semi-centralized
33,coin,,Qtum,QTUM,qtum,958389965.5,0.0429,Semi-centralized
34,coin,,Ravencoin,RVN,ravencoin,868974554.5,0.0389,Decentralized
35,coin,,Siacoin,SC,siacoin,804510358.8,0.036,Centralized > Hierarchical
37,coin,,ICON,ICX,icon,790521511.2,0.0354,Centralized > Hierarchical
38,coin,,Bitcoin Gold,BTG,bitcoin-gold,780087903.4,0.0349,Semi-centralized
41,coin,,Ontology,ONT,ontology,618779751.2,0.0277,Centralized > Flat
43,coin,,IOST,IOST,iostoken,564709391.1,0.0253,Decentralized
44,coin,,DigiByte,DGB,digibyte,513455258.6,0.023,Decentralized
45,coin,,Syscoin,SYS,syscoin,422302643.4,0.0189,Semi-centralized
46,coin,,Lisk,LSK,lisk,314211823,0.0141,Decentralized
48,coin,,Verge,XVG,verge,298039811.1,0.0133,Semi-centralized
49,coin,,MediBloc,MED,medibloc,297297767.4,0.0133,Centralized > Hierarchical
50,coin,,COTI,COTI,coti,264689028,0.0119,Centralized > Hierarchical
51,coin,,Divi,DIVI,divi,261582152.2,0.0117,Semi-centralized
52,coin,,Bitcoin Diamond,BCD,bitcoin-diamond,260300179.8,0.0117,Decentralized
53,coin,,NKN,NKN,nkn,253225547.5,0.0114,Semi-centralized
56,coin,,Counos X,CCXX,counos-x,943372701,0,Decentralized
58,coin,,KardiaChain,KAI,kardiachain,249572940.8,0,Centralized > Hierarchical
60,coin,,Sapphire,SAPP,sapphire,227595604.9,0,Decentralized
61,coin,,Pirate Chain,ARRR,pirate-chain,221211194.1,0,Decentralized
62,coin,,Electroneum,ETN,electroneum,213786910,0,Semi-centralized
64,coin,,Constellation,DAG,constellation,191149534,0.0086,Semi-centralized
65,coin,,Stratis,STRAX,stratis,190068838.5,0.0085,Centralized > Hierarchical
66,coin,,ABBC Coin,ABBC,abbc-coin,186553594,0.0084,Centralized > Hierarchical
67,coin,,Telos,TLOS,telos,185106421.8,0,Centralized > Hierarchical
68,coin,,Steem,STEEM,steem,177427406.9,0.008,Centralized > Hierarchical
69,coin,,TomoChain,TOMO,tomochain,177085518.7,0.0079,Centralized > Hierarchical
70,coin,,Ark,ARK,ark,167974555.5,0.0075,Centralized > Hierarchical
71,coin,,Ergo,ERG,ergo,164377306.9,0.0074,Semi-centralized
72,coin,,Kin,KIN,kin,158042564.5,0.0071,Centralized > Hierarchical
74,coin,,Dero,DERO,dero,138537522.8,0.0062,Decentralized
75,coin,,Wanchain,WAN,wanchain,132252935.7,0.0059,Centralized > Hierarchical
76,coin,,Zenon,ZNN,zenon,130560948.8,0,Decentralized
78,coin,,GXChain,GXC,gxchain,127534572.1,0.0057,Centralized > Hierarchical
80,coin,,Handshake,HNS,handshake,114911592.7,0.0051,Decentralized
81,coin,,IRISnet,IRIS,irisnet,105874429.2,0.0047,Decentralized
82,coin,,Haven Protocol,XHV,haven-protocol,102653643.3,0.0046,Decentralized
83,coin,,BitShares,BTS,bitshares,102478647.6,0.0046,Decentralized
84,coin,,Komodo,KMD,komodo,98987880.19,0.0044,Semi-centralized
86,coin,,MonaCoin,MONA,monacoin,95638916.2,0.0043,Decentralized
88,coin,,NULS,NULS,nuls,87310934.94,0.0039,Centralized > Hierarchical
90,coin,,Fusion,FSN,fusion,80823360.54,0.0036,Semi-centralized
91,coin,,Aion,AION,aion,78752040.57,0.0035,Semi-centralized
92,coin,,Energi,NRG,energi,74009949.4,0.0033,Centralized > Hierarchical
93,coin,,MimbleWimbleCoin,MWC,mimblewimblecoin,72551285.36,0,Decentralized
95,coin,,Cortex,CTXC,cortex,70555331.99,0.0032,Centralized > Flat
96,coin,,Beam,BEAM,beam,68403564.06,0.0031,Centralized > Hierarchical
97,coin,,Bytom,BTM,bytom,65974846.41,0.003,Centralized > Hierarchical
98,coin,,Adshares,ADS,adshares,64372028.1,0.0029,Centralized > Flat
99,coin,,VerusCoin,VRSC,veruscoin,58686685.75,0,Decentralized
100,coin,,Steem Dollars,SBD,steem-dollars,58044064.38,0.0026,Decentralized
101,coin,,Bytecoin,BCN,bytecoin-bcn,57936217.56,0,Semi-centralized
102,coin,,Groestlcoin,GRS,groestlcoin,57051068.48,0.0026,Semi-centralized
104,coin,,Elastos,ELA,elastos,53395744.73,0.0024,Semi-centralized
